nome,id_aluno,dominio,email,matriculas
MARIA,235,@dominioemail.com.br,maria@dominioemail.com.br,1
ANA,43,@servicodoemail.com,ana@servicodoemail.com,1
FRANCISCA,304,@servicodoemail.com,francisca@servicodoemail.com,5
ANTONIA,156,@dominioemail.com.br,antonia@dominioemail.com.br,5
ADRIANA,343,@servicodoemail.com,adriana@servicodoemail.com,1
JULIANA,310,@servicodoemail.com,juliana@servicodoemail.com,1
MARCIA,55,@dominioemail.com.br,marcia@dominioemail.com.br,3
FERNANDA,288,@servicodoemail.com,fernanda@servicodoemail.com,2
PATRICIA,379,@servicodoemail.com,patricia@servicodoemail.com,1
ALINE,92,@dominioemail.com.br,aline@dominioemail.com.br,1
SANDRA,174,@dominioemail.com.br,sandra@dominioemail.com.br,1
CAMILA,218,@dominioemail.com.br,camila@dominioemail.com.br,7
AMANDA,217,@servicodoemail.com,amanda@servicodoemail.com,1
BRUNA,34,@servicodoemail.com,bruna@servicodoemail.com,3
JESSICA,185,@servicodoemail.com,jessica@servicodoemail.com,5
LETICIA,347,@dominioemail.com.br,leticia@dominioemail.com.br,2
JULIA,191,@servicodoemail.com,julia@servicodoemail.com,1
LUCIANA,163,@dominioemail.com.br,luciana@dominioemail.com.br,2
VANESSA,42,@dominioemail.com.br,vanessa@dominioemail.com.br,1
MARIANA,10,@servicodoemail.com,mariana@servicodoemail.com,4
GABRIELA,200,@dominioemail.com.br,gabriela@dominioemail.com.br,2
VERA,287,@servicodoemail.com,vera@servicodoemail.com,5
VITORIA,80,@servicodoemail.com,vitoria@servicodoemail.com,1
LARISSA,173,@servicodoemail.com,larissa@servicodoemail.com,1
CLAUDIA,16,@servicodoemail.com,claudia@servicodoemail.com,2
BEATRIZ,49,@dominioemail.com.br,beatriz@dominioemail.com.br,1
RITA,12,@dominioemail.com.br,rita@dominioemail.com.br,2
LUANA,240,@servicodoemail.com,luana@servicodoemail.com,2
SONIA,242,@dominioemail.com.br,sonia@dominioemail.com.br,1
RENATA,328,@servicodoemail.com,renata@servicodoemail.com,1
ELIANE,172,@servicodoemail.com,eliane@servicodoemail.com,3
JOSEFA,103,@servicodoemail.com,josefa@servicodoemail.com,1
SIMONE,284,@servicodoemail.com,simone@servicodoemail.com,6
NATALIA,192,@dominioemail.com.br,natalia@dominioemail.com.br,4
CRISTIANE,350,@dominioemail.com.br,cristiane@dominioemail.com.br,1
CARLA,262,@dominioemail.com.br,carla@dominioemail.com.br,3
DEBORA,338,@dominioemail.com.br,debora@dominioemail.com.br,2
ROSANGELA,333,@dominioemail.com.br,rosangela@dominioemail.com.br,1
JAQUELINE,76,@servicodoemail.com,jaqueline@servicodoemail.com,5
ROSA,297,@dominioemail.com.br,rosa@dominioemail.com.br,3
APARECIDA,238,@servicodoemail.com,aparecida@servicodoemail.com,3
DANIELA,296,@servicodoemail.com,daniela@servicodoemail.com,4
MARLENE,268,@servicodoemail.com,marlene@servicodoemail.com,4
TEREZINHA,158,@servicodoemail.com,terezinha@servicodoemail.com,1
RAIMUNDA,259,@servicodoemail.com,raimunda@servicodoemail.com,5
ANDREIA,37,@dominioemail.com.br,andreia@dominioemail.com.br,1
FABIANA,358,@servicodoemail.com,fabiana@servicodoemail.com,4
LUCIA,241,@dominioemail.com.br,lucia@dominioemail.com.br,1
RAQUEL,391,@dominioemail.com.br,raquel@dominioemail.com.br,3
ANGELA,249,@servicodoemail.com,angela@servicodoemail.com,1
RAFAELA,27,@dominioemail.com.br,rafaela@dominioemail.com.br,3
JOANA,102,@dominioemail.com.br,joana@dominioemail.com.br,3
LUZIA,276,@servicodoemail.com,luzia@servicodoemail.com,1
ELAINE,233,@servicodoemail.com,elaine@servicodoemail.com,4
REGINA,281,@dominioemail.com.br,regina@dominioemail.com.br,3
DANIELE,25,@dominioemail.com.br,daniele@dominioemail.com.br,2
SUELI,14,@dominioemail.com.br,sueli@dominioemail.com.br,2
DAIANE,303,@servicodoemail.com,daiane@servicodoemail.com,1
ALESSANDRA,193,@servicodoemail.com,alessandra@servicodoemail.com,1
ISABEL,83,@dominioemail.com.br,isabel@dominioemail.com.br,1
SARA,32,@dominioemail.com.br,sara@dominioemail.com.br,2
BIANCA,21,@servicodoemail.com,bianca@servicodoemail.com,3
FLAVIA,60,@servicodoemail.com,flavia@servicodoemail.com,2
ERICA,228,@servicodoemail.com,erica@servicodoemail.com,1
VIVIANE,396,@servicodoemail.com,viviane@servicodoemail.com,3
SILVANA,278,@dominioemail.com.br,silvana@dominioemail.com.br,3
PRISCILA,122,@servicodoemail.com,priscila@servicodoemail.com,1
PAULA,212,@dominioemail.com.br,paula@dominioemail.com.br,3
LUIZA,108,@servicodoemail.com,luiza@servicodoemail.com,4
TEREZA,151,@servicodoemail.com,tereza@servicodoemail.com,2
ISABELA,73,@dominioemail.com.br,isabela@dominioemail.com.br,1
MARTA,265,@servicodoemail.com,marta@servicodoemail.com,1
CAROLINE,232,@servicodoemail.com,caroline@servicodoemail.com,3
JANAINA,53,@servicodoemail.com,janaina@servicodoemail.com,1
LAURA,246,@servicodoemail.com,laura@servicodoemail.com,1
MARLI,180,@dominioemail.com.br,marli@dominioemail.com.br,1
TATIANE,203,@dominioemail.com.br,tatiane@dominioemail.com.br,4
MARINA,324,@servicodoemail.com,marina@servicodoemail.com,1
SILVIA,115,@servicodoemail.com,silvia@servicodoemail.com,4
MONICA,329,@dominioemail.com.br,monica@dominioemail.com.br,1
TAIS,179,@dominioemail.com.br,tais@dominioemail.com.br,3
MICHELE,253,@dominioemail.com.br,michele@dominioemail.com.br,2
SOLANGE,7,@dominioemail.com.br,solange@dominioemail.com.br,2
EDNA,275,@dominioemail.com.br,edna@dominioemail.com.br,1
FATIMA,126,@servicodoemail.com,fatima@servicodoemail.com,2
HELENA,221,@dominioemail.com.br,helena@dominioemail.com.br,1
CRISTINA,381,@dominioemail.com.br,cristina@dominioemail.com.br,1
ALICE,273,@servicodoemail.com,alice@servicodoemail.com,3
CAROLINA,96,@servicodoemail.com,carolina@servicodoemail.com,2
ROSANA,166,@servicodoemail.com,rosana@servicodoemail.com,2
ANDRESSA,213,@servicodoemail.com,andressa@servicodoemail.com,4
CELIA,367,@dominioemail.com.br,celia@dominioemail.com.br,1
VALERIA,377,@dominioemail.com.br,valeria@dominioemail.com.br,1
ELIANA,372,@servicodoemail.com,eliana@servicodoemail.com,2
SABRINA,1,@dominioemail.com.br,sabrina@dominioemail.com.br,1
ANDREA,292,@dominioemail.com.br,andrea@dominioemail.com.br,2
TANIA,211,@servicodoemail.com,tania@servicodoemail.com,4
BARBARA,201,@servicodoemail.com,barbara@servicodoemail.com,2
THAIS,148,@servicodoemail.com,thais@servicodoemail.com,5
DENISE,39,@servicodoemail.com,denise@servicodoemail.com,1
ROSELI,171,@dominioemail.com.br,roseli@dominioemail.com.br,3
GISELE,298,@servicodoemail.com,gisele@servicodoemail.com,2
MARILENE,149,@dominioemail.com.br,marilene@dominioemail.com.br,1
KATIA,145,@servicodoemail.com,katia@servicodoemail.com,1
EVA,13,@servicodoemail.com,eva@servicodoemail.com,1
MILENA,371,@dominioemail.com.br,milena@dominioemail.com.br,2
EDUARDA,342,@servicodoemail.com,eduarda@servicodoemail.com,3
ELISANGELA,56,@dominioemail.com.br,elisangela@dominioemail.com.br,1
VILMA,31,@servicodoemail.com,vilma@servicodoemail.com,1
GEOVANA,300,@dominioemail.com.br,geovana@dominioemail.com.br,1
LUCIENE,22,@dominioemail.com.br,luciene@dominioemail.com.br,5
TAMIRES,121,@dominioemail.com.br,tamires@dominioemail.com.br,1
TATIANA,161,@dominioemail.com.br,tatiana@dominioemail.com.br,3
ROBERTA,143,@dominioemail.com.br,roberta@dominioemail.com.br,1
ELZA,380,@dominioemail.com.br,elza@dominioemail.com.br,2
TALITA,94,@dominioemail.com.br,talita@dominioemail.com.br,2
MARCELA,261,@servicodoemail.com,marcela@servicodoemail.com,1
PAMELA,189,@dominioemail.com.br,pamela@dominioemail.com.br,1
VANIA,285,@dominioemail.com.br,vania@dominioemail.com.br,12
IRENE,190,@dominioemail.com.br,irene@dominioemail.com.br,2
JOSIANE,178,@servicodoemail.com,josiane@servicodoemail.com,1
LIVIA,106,@dominioemail.com.br,livia@dominioemail.com.br,2
CINTIA,6,@dominioemail.com.br,cintia@dominioemail.com.br,1
IVONE,289,@servicodoemail.com,ivone@servicodoemail.com,2
LAIS,280,@dominioemail.com.br,lais@dominioemail.com.br,2
BENEDITA,20,@dominioemail.com.br,benedita@dominioemail.com.br,1
SEBASTIANA,30,@dominioemail.com.br,sebastiana@dominioemail.com.br,1
TAINA,79,@servicodoemail.com,taina@servicodoemail.com,1
JOICE,357,@servicodoemail.com,joice@servicodoemail.com,3
MIRIAN,135,@dominioemail.com.br,mirian@dominioemail.com.br,5
ELIZABETE,197,@servicodoemail.com,elizabete@servicodoemail.com,1
ANGELICA,370,@dominioemail.com.br,angelica@dominioemail.com.br,2
GABRIELE,72,@dominioemail.com.br,gabriele@dominioemail.com.br,1
BRENDA,95,@servicodoemail.com,brenda@servicodoemail.com,1
VERONICA,274,@dominioemail.com.br,veronica@dominioemail.com.br,1
ROSILENE,387,@servicodoemail.com,rosilene@servicodoemail.com,2
KARINA,36,@dominioemail.com.br,karina@dominioemail.com.br,2
NAIR,129,@servicodoemail.com,nair@servicodoemail.com,1
NEUSA,75,@dominioemail.com.br,neusa@dominioemail.com.br,1
MARGARIDA,54,@dominioemail.com.br,margarida@dominioemail.com.br,5
NEUZA,23,@servicodoemail.com,neuza@servicodoemail.com,1
NEIDE,325,@dominioemail.com.br,neide@dominioemail.com.br,1
RAISSA,286,@servicodoemail.com,raissa@servicodoemail.com,1
MAIARA,301,@dominioemail.com.br,maiara@dominioemail.com.br,4
LORENA,91,@servicodoemail.com,lorena@servicodoemail.com,2
